Agent,Total Reward,Switch Cost,WRS,ATE (Merit),DIE (Confounding),Time (ms)
Q-Learning (WRS Only),-11.146211581038973,0.05,1.01040466235693,0.06126458722455329,0.1449548588033796,0.061549790700276684
Q-Learning (DIE Only),-10.931139805851512,0.05,1.0169475238407217,0.05708088251674273,0.16005347193178907,0.05980612436930339
Q-Learning (Combined),-10.979464147863267,0.05,0.9931266130416125,0.06057196335842138,0.13122398836299645,0.05232699712117513
Heuristic (Lookahead),-10.45384966834262,0.05,0.9840415369163784,0.04192432921020485,0.11647979939558013,4.394367790222168
Fixed (Biased),-16.0704081500537,0.05,1.2076260491752688,0.048296940362234836,0.1853059945817531,0.010071023305257162
Fixed (Fair),-11.04536188244948,0.05,0.7883365314244473,0.052371928686807866,0.13105987803091457,0.010320822397867838
Random,-14.091139014769217,0.26749999999999996,1.1620566137063513,0.0596459566974506,0.1865715512434311,0.012786324818929037
