Agent,Switching Cost,Final WRS,DIE (Bias),DIE (Merit)
Q-Learning (WRS Only),0.025,0.5662881097845276,0.9645771730448119,0.045698533413124826
Q-Learning (DIE Only),0.025,0.5907387377854049,0.938150037975081,0.05356650028569229
Heuristic (Best First),0.025,0.8355857020756379,1.4161362893195064,0.03646310413810322
Fixed (Biased Lane),0.025,0.8439868615979359,1.4307617064611153,0.031285487609166066
Fixed (Fair Lane),0.025,0.64084283881647,0.9828123995381947,0.05346462171543352
Random,0.26325,0.7269628866025397,1.2688096723061957,0.02773287821194549
