Agent,Total Reward,Switch Cost,WRS,ATE (Merit),DIE (Confounding),Time (ms)
Q-Learning (WRS Only),-11.253881166918337,0.016666666666666666,1.0759046366886174,0.030148943540398813,0.14148651992705924,0.11907427651541574
Q-Learning (DIE Only),-11.282466076087958,0.016666666666666666,0.9376908417756491,0.03685107747722529,0.13839520922391962,0.12769005639212472
Q-Learning (Combined),-11.063684982226418,0.016666666666666666,0.9819419347632886,0.023636250726469753,0.146644559738751,0.1371532576424735
Heuristic (Lookahead),-10.14564706219546,0.016666666666666666,0.7921921224564045,0.029467739413376853,0.1212830623386005,16.5569774218968
Fixed (Biased),-15.451947474876958,0.016666666666666666,1.1730169451931716,0.026511214321089167,0.17570879676975726,0.021749114990234374
Fixed (Fair),-11.374676696734644,0.016666666666666666,0.9302106035189285,0.023624709434032616,0.15279932793132578,0.021481568472726004
Random,-13.853423008217309,0.25693333333333335,0.9699641302627916,0.032760221164716156,0.16104679195991414,0.025830650329589845
