Agent,Train Mode,Eval Mode,Avg Reward,Avg Cost,Avg WRS,Avg DIE,Time (ms),Top 3 Pipelines
Q-Learning (WRS),WRS,BOTH,-0.4987309094395592,0.11900000000000002,0.02938209915516402,0.0085909917887919,0.020454883575439453,[1: trans_none -> m_textblob (93.0%)] [2: trans_danish -> m_textblob (2.2%)] [3: trans_spanish -> m_textblob (1.6%)]
Q-Learning (DIE),DIE,BOTH,-0.6481741084448646,0.11900000000000001,0.04067954077325456,0.012237870071231905,0.019255638122558594,[1: trans_none -> m_gru (91.4%)] [2: trans_danish -> m_gru (2.0%)] [3: trans_spanish -> m_gru (1.8%)]
Q-Learning (BOTH),BOTH,BOTH,-0.5563264073944272,0.11400000000000002,0.03374633563084923,0.010486305108593491,0.01701664924621582,[1: trans_none -> m_textblob (92.2%)] [2: trans_none -> m_gru (1.8%)] [3: trans_danish -> m_textblob (1.4%)]
Heuristic,N/A,BOTH,-2.238711403667757,0.1,0.16773303016559252,0.046138110201183184,1.4911143779754639,[1: trans_none -> m_textblob (32.6%)] [2: trans_none -> m_gru (25.6%)] [3: trans_none -> m_random (18.6%)]
Fixed (Biased),N/A,BOTH,-11.952823399018175,0.1,0.8941600000000001,0.2911223399018178,0.0028984546661376953,[1: trans_none -> m_bf (100.0%)]
Random,N/A,BOTH,-3.4977476828744467,0.4329999999999999,0.2340854911922988,0.07238927709514589,0.0040090084075927734,[1: trans_none -> m_bf (8.6%)] [2: trans_danish -> m_gru (8.0%)] [3: trans_danish -> m_dbert (7.6%)]
