Agent,Total Reward,Switch Cost,WRS,ATE (Merit),DIE (Confounding),Time (ms)
Q-Learning (WRS Only),-9.765608355377534,0.016666666666666666,0.8919656531983887,0.0257554328393948,0.130152344814631,0.2954075404575893
Q-Learning (DIE Only),-10.001141713587337,0.016666666666666666,0.8047164372469635,0.042602756109494364,0.128264977604297,0.30293453761509487
Q-Learning (Combined),-9.858737106699207,0.016666666666666666,0.7621534196696701,0.03062331961414993,0.15664114109804422,0.2835022245134626
Heuristic (Lookahead),-9.722174516449583,0.016666666666666666,1.0019226610644258,0.04131340798504808,0.13469226872417356,24.97909280232021
Fixed (Biased),-14.899163936171712,0.016666666666666666,1.1223872540525206,0.028926202007583085,0.19304843672129196,0.0189272335597447
Fixed (Fair),-10.762598191311996,0.016666666666666666,0.8603688218111003,0.02189230960521709,0.1332937209393161,0.01969231196812221
Random,-13.174010557115814,0.25803333333333334,0.8468074805230531,0.040962180473349666,0.1580199867551022,0.023678479875837054
